"Station_code","Station_name","Lat","Long","Species","Tissue","Substance","Year","Conc","Limit_of_quantification","Body_length"
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB138",2015,0.07,"Over LOQ",NA
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB138",2016,0.05,"Over LOQ",NA
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB138",2017,0.219,"Under LOQ",NA
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB138",2018,0.525,"Over LOQ",NA
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB138",2020,0.244,"Under LOQ",NA
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB153",1996,0.38,"Over LOQ",24
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB153",1997,0.44,"Over LOQ",18.6
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB153",1999,0.29,"Over LOQ",21.8
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB153",2000,0.22,"Over LOQ",23.5
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB153",2001,0.15,"Under LOQ",23.7
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB153",2002,0.1,"Under LOQ",31.4
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB153",2003,0.15,"Over LOQ",23
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB153",2004,0.07,"Over LOQ",25.3
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB153",2005,0.12,"Over LOQ",32.4
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB153",2006,0.11,"Over LOQ",24.7
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB153",2007,0.1,"Over LOQ",24.6
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB153",2008,0.06,"Over LOQ",27.4
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB153",2009,0.09,"Over LOQ",27.8
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB153",2010,0.12,"Over LOQ",28
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB153",2011,0.07,"Over LOQ",34.5
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB153",2012,0.079,"Over LOQ",36.4
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB153",2013,0.082,"Over LOQ",34.1
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB153",2014,0.19,"Over LOQ",NA
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB153",2015,0.067,"Over LOQ",NA
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB153",2016,0.05,"Over LOQ",NA
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB153",2017,0.219,"Under LOQ",NA
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB153",2018,0.769,"Over LOQ",NA
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB153",2020,0.244,"Under LOQ",NA
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB180",1996,0.05,"Under LOQ",24
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB180",1997,0.05,"Under LOQ",18.6
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB180",1999,0.1,"Under LOQ",21.8
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB180",2000,0.06,"Under LOQ",23.5
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB180",2001,0.15,"Under LOQ",23.7
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB180",2002,0.1,"Under LOQ",31.4
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB180",2003,0.1,"Under LOQ",23
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB180",2004,0.05,"Under LOQ",25.3
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB180",2005,0.05,"Under LOQ",32.4
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB180",2006,0.05,"Under LOQ",24.7
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB180",2007,0.05,"Under LOQ",24.6
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB180",2008,0.05,"Under LOQ",27.4
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB180",2009,0.05,"Under LOQ",27.8
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB180",2010,0.05,"Under LOQ",28
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB180",2011,0.05,"Under LOQ",34.5
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB180",2012,0.05,"Under LOQ",36.4
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB180",2013,0.05,"Under LOQ",34.1
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB180",2014,0.05,"Under LOQ",NA
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB180",2015,0.05,"Under LOQ",NA
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB180",2016,0.05,"Under LOQ",NA
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB180",2017,0.219,"Under LOQ",NA
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB180",2018,0.233,"Under LOQ",NA
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB180",2020,0.244,"Under LOQ",NA
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB28",1996,0.05,"Over LOQ",24
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB28",1997,0.05,"Under LOQ",18.6
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB28",1999,0.1,"Under LOQ",21.8
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB28",2000,0.06,"Under LOQ",23.5
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB28",2001,0.15,"Under LOQ",23.7
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB28",2002,0.1,"Under LOQ",31.4
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB28",2003,0.1,"Under LOQ",23
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB28",2004,0.05,"Under LOQ",25.3
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB28",2005,0.05,"Under LOQ",32.4
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB28",2006,0.09,"Over LOQ",24.7
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB28",2007,0.05,"Under LOQ",24.6
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB28",2008,0.05,"Under LOQ",27.4
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB28",2009,0.05,"Under LOQ",27.8
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB28",2010,0.05,"Under LOQ",28
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB28",2011,0.05,"Under LOQ",34.5
